Transaction_ID,Transaction_Date,Location,Customer,Product_Service,Quantity,Unit_Price,Revenue,Sales_Rep,Status
NAS-10000,2026-05-11,Nashville,Oakline Partners,Automation,3,5043.89,15131.67,Alex Johnson,Cancelled
NAS-10001,2026-04-05,Nashville,Evergreen Retail,Support,4,2131.5,8526.0,Jordan Lee,Pending
NAS-10002,2026-07-05,Nashville,Atlas Medical,Automation,3,6780.53,20341.59,Casey Brown,Pending
NAS-10003,2026-07-04,Nashville,Atlas Medical,Support,5,1655.27,8276.35,Casey Brown,Pending
NAS-10004,2026-06-08,Nashville,Vertex Technology,Consulting,5,3516.1,17580.5,Taylor Smith,Completed
NAS-10005,2026-01-29,Nashville,Summit Financial,Implementation,5,7241.03,36205.15,Jordan Lee,Pending
NAS-10006,2026-06-26,Nashville,Summit Financial,Support,4,802.86,3211.44,Alex Johnson,Cancelled
NAS-10007,2026-07-08,Nashville,Atlas Medical,Automation,4,7236.91,28947.64,Taylor Smith,Cancelled
NAS-10008,2026-06-19,Nashville,Crescent Health,Consulting,5,2300.2,11501.0,Casey Brown,Pending
NAS-10009,2026-05-17,Nashville,Evergreen Retail,Support,2,1419.33,2838.66,Casey Brown,Completed
NAS-10010,2026-03-05,Nashville,Blue Ridge Services,Support,5,1468.36,7341.8,Casey Brown,Completed
NAS-10011,2026-06-30,Nashville,Summit Financial,Consulting,3,4084.7,12254.1,Alex Johnson,Completed
NAS-10012,2026-07-23,Nashville,Blue Ridge Services,Data Services,3,4022.19,12066.57,Morgan Davis,Completed
NAS-10013,2026-04-12,nashville,Evergreen Retail,Automation,5,4278.17,21390.85,Taylor Smith,Completed
NAS-10014,2026-01-21,Nashville,Evergreen Retail,Implementation,3,7276.57,21829.71,Alex Johnson,Completed
NAS-10015,2026-05-18,Nashville,Blue Ridge Services,Data Services,2,2409.31,4818.62,Casey Brown,Completed
NAS-10016,2026-05-31,Nashville,Summit Financial,Consulting,1,3462.71,3462.71,Taylor Smith,Completed
NAS-10017,2026-01-14,Nashville,Northstar Logistics,Automation,2,5827.67,11655.34,Alex Johnson,Completed
NAS-10018,2026-02-05,Nashville,Atlas Medical,Data Services,1,4565.36,4565.36,Casey Brown,Completed
NAS-10019,2026-02-21,Nashville,Blue Ridge Services,Data Services,4,3648.52,14594.08,Morgan Davis,Completed
NAS-10020,2026-03-01,Nashville,Oakline Partners,Implementation,1,5761.49,5761.49,Jordan Lee,Completed
NAS-10021,2026-01-10,Nashville,Vertex Technology,Data Services,2,5702.65,-11405.3,Alex Johnson,Completed
NAS-10022,2026-05-26,Nashville,Redwood Operations,Support,1,518.53,518.53,Jordan Lee,Completed
NAS-10023,INVALID_DATE,Nashville,,Support,4,2478.2,9912.8,Alex Johnson,Completed
NAS-10024,2026-07-27,Nashville,Northstar Logistics,Automation,4,3637.02,14548.08,Morgan Davis,Completed
NAS-10025,2026-01-04,Nashville,Evergreen Retail,Data Services,3,4733.69,14201.07,Morgan Davis,Cancelled
NAS-10026,2026-06-13,Nashville,Vertex Technology,Consulting,2,3443.82,6887.64,Alex Johnson,Cancelled
NAS-10027,2026-01-25,Nashville,Pioneer Manufacturing,Support,1,1301.67,1301.67,Taylor Smith,Pending
NAS-10028,2026-04-09,Nashville,Summit Financial,Support,2,513.66,1027.32,Alex Johnson,Completed
NAS-10029,2026-05-27,Nashville,Atlas Medical,Support,3,1664.92,4994.76,Morgan Davis,Completed
NAS-10030,2026-04-30,Nashville,Blue Ridge Services,Consulting,1,3671.14,3671.14,Taylor Smith,Pending
NAS-10031,2026-06-13,Nashville,Blue Ridge Services,Automation,3,6141.74,18425.22,Morgan Davis,Cancelled
NAS-10032,2026-05-03,Nashville,Pioneer Manufacturing,Consulting,2,4829.44,9658.88,Alex Johnson,Cancelled
NAS-10033,2026-05-01,Nashville,Oakline Partners,Support,4,1903.88,7615.52,Taylor Smith,Completed
NAS-10034,2026-05-16,Nashville,Evergreen Retail,Automation,1,5153.04,5153.04,Jordan Lee,Cancelled
NAS-10035,2026-05-10,Nashville,Summit Financial,Implementation,1,6643.87,6643.87,Casey Brown,Cancelled
NAS-10036,2026-05-14,Nashville,Crescent Health,Consulting,2,2312.47,4624.94,Jordan Lee,Completed
NAS-10037,2026-05-11,Nashville,Crescent Health,Automation,4,2545.65,10182.6,Jordan Lee,Pending
NAS-10038,2026-05-25,Nashville,Atlas Medical,Consulting,5,2661.7,13308.5,Casey Brown,Pending
NAS-10039,2026-07-29,Nashville,Atlas Medical,Support,1,1291.9,1291.9,Taylor Smith,Cancelled
NAS-10040,2026-06-29,Nashville,,Implementation,1,4618.49,4618.49,Casey Brown,Completed
NAS-10041,2026-04-15,Nashville,Pioneer Manufacturing,Implementation,4,2658.67,10634.68,Taylor Smith,Pending
NAS-10042,2026-04-07,nashville,Vertex Technology,Support,4,1397.07,5588.28,Jordan Lee,Cancelled
NAS-10043,2026-05-18,Nashville,Vertex Technology,Consulting,3,1474.53,4423.59,Casey Brown,Completed
